"name","option","category","confidence","estimate"
"Mar'Quasa Banks","option_3","category_1",75,0.1
"Mar'Quasa Banks","option_3","category_2",75,0
"Mar'Quasa Banks","option_3","category_3",75,0.15
"Mar'Quasa Banks","option_3","category_4",75,0.44
"Mar'Quasa Banks","option_3","category_5",75,0.31
"Mar'Quasa Banks","option_4","category_1",65,0.44
"Mar'Quasa Banks","option_4","category_2",65,0.05
"Mar'Quasa Banks","option_4","category_3",65,0.26
"Mar'Quasa Banks","option_4","category_4",65,0.08
"Mar'Quasa Banks","option_4","category_5",65,0.17
"Mastoora al-Abdalla","option_1","category_1",55,0.07
"Mastoora al-Abdalla","option_1","category_2",55,0.09
"Mastoora al-Abdalla","option_1","category_3",55,0.09
"Mastoora al-Abdalla","option_1","category_4",55,0.32
"Mastoora al-Abdalla","option_1","category_5",55,0.43
"Mastoora al-Abdalla","option_2","category_1",35,0.12
"Mastoora al-Abdalla","option_2","category_2",35,0.48
"Mastoora al-Abdalla","option_2","category_3",35,0.05
"Mastoora al-Abdalla","option_2","category_4",35,0.03
"Mastoora al-Abdalla","option_2","category_5",35,0.32
"Mastoora al-Abdalla","option_3","category_1",40,0.1
"Mastoora al-Abdalla","option_3","category_2",40,0.27
"Mastoora al-Abdalla","option_3","category_3",40,0.35
"Mastoora al-Abdalla","option_3","category_4",40,0.13
"Mastoora al-Abdalla","option_3","category_5",40,0.15
"Mastoora al-Abdalla","option_4","category_1",5,0.11
"Mastoora al-Abdalla","option_4","category_2",5,0.22
"Mastoora al-Abdalla","option_4","category_3",5,0.19
"Mastoora al-Abdalla","option_4","category_4",5,0.36
"Mastoora al-Abdalla","option_4","category_5",5,0.12
"Eriberto Munguia","option_1","category_1",40,0.13
"Eriberto Munguia","option_1","category_2",40,0.01
"Eriberto Munguia","option_1","category_3",40,0.31
"Eriberto Munguia","option_1","category_4",40,0.32
"Eriberto Munguia","option_1","category_5",40,0.23
"Eriberto Munguia","option_2","category_1",90,0.34
"Eriberto Munguia","option_2","category_2",90,0.09
"Eriberto Munguia","option_2","category_3",90,0.25
"Eriberto Munguia","option_2","category_4",90,0.13
"Eriberto Munguia","option_2","category_5",90,0.19
"Eriberto Munguia","option_3","category_1",55,0.24
"Eriberto Munguia","option_3","category_2",55,0.33
"Eriberto Munguia","option_3","category_3",55,0.3
"Eriberto Munguia","option_3","category_4",55,0.08
"Eriberto Munguia","option_3","category_5",55,0.05
"Eriberto Munguia","option_4","category_1",55,0.21
"Eriberto Munguia","option_4","category_2",55,0.12
"Eriberto Munguia","option_4","category_3",55,0.22
"Eriberto Munguia","option_4","category_4",55,0.15
"Eriberto Munguia","option_4","category_5",55,0.3
"Paul Bol","option_1","category_1",30,0.19
"Paul Bol","option_1","category_2",30,0.01
"Paul Bol","option_1","category_3",30,0.16
"Paul Bol","option_1","category_4",30,0.01
"Paul Bol","option_1","category_5",30,0.63
"Paul Bol","option_2","category_1",90,0.13
"Paul Bol","option_2","category_2",90,0.34
"Paul Bol","option_2","category_3",90,0.47
"Paul Bol","option_2","category_4",90,0.04
"Paul Bol","option_2","category_5",90,0.02
"Paul Bol","option_3","category_1",35,0.37
"Paul Bol","option_3","category_2",35,0.08
"Paul Bol","option_3","category_3",35,0.52
"Paul Bol","option_3","category_4",35,0.03
"Paul Bol","option_3","category_5",35,0
"Paul Bol","option_4","category_1",35,0.07
"Paul Bol","option_4","category_2",35,0.35
"Paul Bol","option_4","category_3",35,0.45
"Paul Bol","option_4","category_4",35,0.11
"Paul Bol","option_4","category_5",35,0.02
